Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,
AEM Jan19'24 60 CALL,5,-0.10714285714285723,0.25,-1,0.499,-50,28,-22,-0.03%,,AGNICO EAGLE MINES LTD,,,27160826344.751686,30.10192,0.90115,,,,,,,,,,,
NET.UN VENTURE,4,0.010416666666666815,4.85,70,8.016,561,-222,340,0.34%,CA,CANADIAN NET REAL ESTATE INV,Financial,REITS,98536810.00,712.2211,0.514,5.0,5.55,0.14429999999999998,0.345,0.02875,01/12/2024,,,58.70726446194355,16.415670094135763,
REI.UN TSE,3,0.007030827474310383,18.62,26,18.22,474,10,484,0.49%,CA,RIOCAN REAL ESTATE INVST TR,Financial,REITS,5545252000.00,210.363,1.22963,10.0,21.63,0.1617,1.08,0.09,01/30/2024,,,25.573674299268106,14.371350558542689,
GRPN Jan19'24 11 PUT,1,0.09999999999999995,0.22,-1,0.309,-31,12,-19,-0.03%,,GROUPON INC,,Internet,410908600.00,,1.62806,,,,,,,,,,,
VOD,-1,-0.0022935779816513273,8.70,66,13.764,908,-334,574,0.77%,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,23492863417.43119,23.1582,0.66518,2.0,14.43,0.6586,0.96,0.48,06/06/2024,8.699999809265137,0.00000002,35.12298459164027,17.99391348670001,
BYG LSE,-2,-0.008116883116883232,1222.00,25,1116.5,279,26,306,0.52%,GB,BIG YELLOW GROUP PLC,Financial,REITS,2397506470.7792206,46.03304,0.59816,15.0,1189.93,96.37559999999999,0.452,0.226,01/04/2024,12.220000267028809,-0.00000002,39.376557174587816,26.859191755459683,
BRNK IBIS,-3,-0.004424778761061983,3.375,233,12.103,"2,820","-2,033",786,1.16%,DE,BRANICKS GROUP AG,Financial,Real Estate,282033617.25663716,,1.10684,9.0,5.8,0.7184999999999999,0.75,0.75,03/05/2024,3.375,0.0,70.15182875396071,30.07854133119498,
OXY Feb02'24 56 PUT,-4,0.0714285714285715,0.45,-1,0.439,-44,-1,-45,-0.06%,,OCCIDENTAL PETROLEUM CORP,,Oil&Gas,52338938229.11456,13.44218,1.63834,,,,,,,,,,,
STAG,-12,-0.008084891359272367,39.26,36.6128,31.788,"1,164",274,"1,437",1.92%,US,STAG INDUSTRIAL INC,Financial,REITS,7128473313.794846,146.111,1.04158,10.0,37.6,-0.042300000000000004,1.464,0.122,01/30/2024,39.2599983215332,0.00000004,27.85341143745465,15.984201011373262,
AEM,-13,-0.014914514368861409,54.16,100,43.551,"4,355","1,130","5,485",7.33%,CA,AGNICO EAGLE MINES LTD,Basic Materials,Mining,27160826344.751686,30.10192,0.90115,16.0,66.72,0.23190000000000002,1.6,0.4,02/29/2024,54.849998474121094,-0.01257973552080662,39.182729251264334,22.494336361793298,
LI SBF,-16,-0.00803858520900333,24.68,78,13.031,"1,016",909,"1,925",2.84%,FR,KLEPIERRE,Financial,REITS,7079733765.273313,6.0193,1.79382,17.0,23.4,-0.0519,,,,24.68000030517578,-0.00000001,38.14199820067835,17.09144805001641,
SPG,-18,-0.009356806210146897,142.93,13,70.921,922,936,"1,858",2.48%,US,SIMON PROPERTY GROUP INC,Financial,REITS,46627283487.66289,109.1315,1.66843,15.0,138.13,-0.0336,7.6,1.9,03/07/2024,142.63999938964844,0.0020330945849163754,30.784322520202974,16.572192824717437,
CCI,-18,-0.00783739557316335,115.20,20,105.178,"2,104",200,"2,304",3.08%,US,CROWN CASTLE INC,Financial,REITS,49960953165.10206,175.1289,0.76691,14.0,111.79,-0.0296,6.26,1.565,03/14/2024,115.19000244140625,0.00008679,34.390375834467854,18.15186437945775,
UNIT,-23,-0.020338983050847474,5.78,192,6.965,"1,337",-227,"1,110",1.48%,US,UNITI GROUP INC,Financial,REITS,1379524355.9322035,,1.43269,9.0,6.33,0.09519999999999999,0.6,0.15,03/27/2024,5.78000020980835,-0.00000004,66.88057450154095,38.65982378537251,
VICI,-26,-0.01336233685518955,31.75,88,28.916,"2,545",261,"2,805",3.75%,US,VICI PROPERTIES INC,Financial,REITS,32846391236.793037,66.84509,0.96302,20.0,35.46,0.11689999999999999,1.66,0.415,03/20/2024,,,,,
OUT,-28,-0.025819958129797572,13.96,77,22.94,"1,766",-691,"1,075",1.44%,US,OUTFRONT MEDIA INC,Financial,REITS,2304091667.829728,,1.87878,5.0,15.2,0.0888,1.2,0.3,02/29/2024,13.960000038146973,-0.00,73.27196393289354,25.984505995057877,
NLCP,-31,-0.018393623543838177,16.01,100,13.994,"1,399",201,"1,600",2.14%,US,NEWLAKE CAPITAL PARTNERS INC,Financial,Private Equity,331109846.71980387,135.9628,,1.0,15.5,-0.0319,1.6,0.4,03/27/2024,16.010000228881836,-0.00000001,72.84874891786288,23.20329173733546,
BTG,-34,-0.006269592476488894,3.17,"1,708",3.372,"5,759",-345,"5,414",7.24%,CA,B2GOLD CORP,Basic Materials,Mining,4122397064.2857146,67.95398,1.09409,4.0,4.45,0.40380000000000005,0.16,0.04,03/05/2024,3.1600000858306885,0.003164529714461434,41.60057528990538,28.165028736441943,
EPR,-35,-0.011627906976744191,48.45,62,40.396,"2,505",499,"3,004",4.02%,US,EPR PROPERTIES,Financial,REITS,3649711220.930232,170.4047,1.69793,10.0,47.65,-0.0165,3.3,0.275,01/30/2024,48.45000076293945,-0.00000002,28.866046428005554,18.51951856349607,
ADC,-35,-0.00819284701433742,62.95,67,57.881,"3,878",340,"4,218",5.64%,US,AGREE REALTY CORP,Financial,REITS,6327715750.748385,172.2073,0.57797,14.0,66.09,0.0499,2.964,0.247,01/30/2024,62.95000076293945,-0.00000001,23.5779300188062,12.526890935588147,
IAUX,-36,-0.006388888888888925,1.79,"3,100",1.957,"6,066",-522,"5,544",7.41%,CA,I-80 GOLD CORP,Basic Materials,Mining,533245443.1144068,,,,,,,,,1.7599999904632568,0.01619318732453035,66.9726451306056,42.979118440136496,
COIN,-44,-0.07855763039278822,171.72,3,221.742,665,-150,515,0.69%,US,COINBASE GLOBAL INC -CLASS A,Financial,Diversified Finan Serv,41083245202.83323,,,23.0,109.64,-0.3615,,,,173.9199981689453,-0.012649483625271447,130.98833813439543,57.576361084812646,
SAFE,-46,-0.013906447534766046,23.40,140,23.531,"3,294",-18,"3,276",4.38%,US,SAFEHOLD INC,Financial,REITS,1662953097.3451328,,1.44003,11.0,28.61,0.22260000000000002,0.708,0.177,02/29/2024,23.399999618530273,0.00000002,52.02600246171292,30.109813056192987,
RICK,-48,-0.014134801368843963,66.26,50.969,71.327,"3,635",-258,"3,377",4.51%,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,620172798.244309,7.33776,1.64856,2.0,117.5,0.7733,0.24,0.06,03/14/2024,66.26000213623047,-0.00000003,43.875392217199646,20.57494996960186,
MPW,-52,-0.02952755905511818,4.93,306,16.656,"5,097","-3,594","1,502",2.01%,US,MEDICAL PROPERTIES TRUST INC,Financial,REITS,2953069999.9999995,,1.17161,11.0,7.0,0.4199,0.6,0.15,03/13/2024,4.909999847412109,0.0040733509591516035,68.27403499789678,30.361583559230997,
GMRE,-58,-0.025460930640913162,11.10,200,7.843,"1,568",652,"2,220",2.97%,US,GLOBAL MEDICAL REIT INC,Financial,REITS,727770866.5496049,344.1277,1.20175,7.0,10.91,-0.0171,0.84,0.21,03/21/2024,11.100000381469727,-0.00000003,35.26537797862295,18.162183812158492,
MAC,-59,-0.03199498117942282,15.43,115,7.646,879,895,"1,774",2.37%,US,MACERICH CO/THE,Financial,REITS,3324365427.8544545,,2.35793,12.0,12.96,-0.16010000000000002,0.68,0.17,02/20/2024,15.430000305175781,-0.00000002,50.201065490450816,27.48035951003661,
ARE,-60,-0.016524437548487272,126.77,28,116.658,"3,266",283,"3,550",4.75%,US,ALEXANDRIA REAL ESTATE EQUIT,Financial,REITS,22029518217.222652,358.8536,1.10134,12.0,133.83,0.0557,5.08,1.27,03/27/2024,126.7699966430664,0.00000003,36.44040949719393,19.11401842021398,
VNA IBIS,-66,-0.010745233968804115,28.54,213.5847,23.603,"5,041","1,055","6,096",8.99%,DE,VONOVIA SE,Financial,Real Estate,23249970031.19584,,0.77961,21.0,29.8,0.0441,0.85,0.85,05/08/2024,28.540000915527344,-0.00000003,52.73686057506106,28.76016431752394,
