Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size
MAC,61,0.04012112036336104,13.74,115.0,7.646,879,701.0,1580.0,2.59,US,MACERICH CO/THE,REITS,REITS,2951142886.494471,,2.14416,12.0,12.38,-9.898107714701597,0.691,0.17,02162023,11.260000228881836,0.2202486430468251,62.011381228700294,32.76641351112457,19.55,2,Feb,5.03,79.7,Malls,USD,Small
GRPN,-11,-0.010778443113772438,8.26,124.0,7.313,907,117.0,1024.0,1.68,US,GROUPON INC,Communications,Internet,251412743.014467,,1.84778,4.0,9.38,13.559322033898317,0.0,0.0,01011970,8.579999923706055,-0.03729602873560794,96.32952694797798,54.54941422708227,0.0,1,Jan,0.0,12.95,,USD,Small
LI SBF,-13,-0.0119098256061251,23.23,78.0,13.0671,"1,019",801.0,1821.0,3.24,FR,KLEPIERRE,REITS,REITS,6695339601.871543,66.65751,1.7386700000000002,17.0,21.9,-5.725355144210081,0.0,0.0,01011970,21.530000686645508,0.07895955685728136,50.900498306390475,25.205226198989052,0.0,1,Jan,0.0,77.77,,EUR,Medium
OUT,75,0.05179704016913321,19.9,77.0,22.94,"1,766",-234.0,1532.0,2.51,US,OUTFRONT MEDIA INC,REITS,REITS,3266656459.579105,113.8655,1.73003,6.0,26.67,34.02010050251258,1.2,0.3,03022023,16.579999923706055,0.20024126004651044,56.9956756663692,23.836842811153282,23.099999999999998,3,Mar,6.03,-13.25,,USD,Small
BEI.UN TSE,6,0.010605788243753305,56.22,11.0,27.463,302,316.0,618.0,0.76,CA,BOARDWALK REAL ESTATE INVEST,REITS,REITS,2557900000.0,12.03652,1.69934,11.0,60.55,7.701885450017784,1.08,0.09,02272023,,,34.73628085311068,19.07830105995364,0.99,2,Feb,1.92,104.71,,CAD,Micro
RICK,54,0.017140936589737855,90.79,35.0,69.23100000000001,"2,423",755.0,3178.0,5.21,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,839258048.9291412,3.8748099999999996,1.6822700000000002,4.0,131.5,44.839740059477904,0.2,0.05,03142023,93.19000244140624,-0.02575386177197773,61.541501088488246,37.98738116476017,1.75,3,Mar,0.22,31.14,,USD,Medium
EPR,35,0.016754427955959855,42.48,57.0,40.762,"2,323",93.0,2417.0,3.96,US,EPR PROPERTIES,REITS,REITS,3180892158.5132318,154.19899999999998,1.66192,7.0,44.0,3.5781544256120603,3.3,0.275,02272023,37.72000122070313,0.12619296461433546,42.642897129830324,21.99365463692691,15.675,2,Feb,7.77,4.21,Net Lease,USD,Medium
BRX,28,0.02885876694359423,23.53,43.0,11.716,504,508.0,1012.0,1.66,US,BRIXMOR PROPERTY GROUP INC,REITS,REITS,7056956892.422875,88.60777,1.55037,17.0,24.6,4.547386315342117,1.04,0.26,04042023,22.670000076293945,0.03793559421313629,39.396400645319815,21.5958390278846,11.18,4,Apr,4.42,100.84,Shopping Center,USD,Small
SPG,33,0.019928543072647915,128.46,13.0,70.921,922,748.0,1670.0,2.74,US,SIMON PROPERTY GROUP INC,REITS,REITS,44050665081.15592,112.8539,1.5368600000000001,15.0,128.47,0.007784524365554184,7.2,1.8,03092023,117.4800033569336,0.09346268581306083,45.266951454178226,23.4202969882305,23.400000000000002,3,Mar,5.6,81.13,Malls,USD,Small
LAC,179,0.14824920418371976,25.25,55.0,7.5089999999999995,413,976.0,1389.0,2.28,CA,LITHIUM AMERICAS CORP,Basic Materials,Lithium producers,3408134538.426558,,1.4647,9.0,36.39,44.11881188118812,0.0,0.0,01011970,18.950000762939453,0.3324537722120553,93.62118148666731,48.98111043577028,0.0,1,Jan,0.0,236.26,,USD,Small
UNIT,32,0.059654631083202486,6.75,85.0,10.982999999999999,934,-360.0,574.0,0.94,US,UNITI GROUP INC,REITS,REITS,1601076247.787475,,1.3135700000000001,10.0,10.0,48.148148148148145,0.6,0.15,03312023,5.53000020980835,0.22061478189960707,62.06932380841484,27.268911672826682,12.75,3,Mar,8.89,-38.54,Specialty,USD,Micro
UMH,40,0.04918032786885245,17.92,48.0,13.450999999999999,646,215.0,860.0,1.41,US,UMH PROPERTIES INC,REITS,REITS,1035634889.655091,,1.27084,8.0,20.88,16.517857142857125,0.82,0.205,02142023,16.100000381469727,0.11304345188867207,36.17562290740845,21.141986533791272,9.84,2,Feb,4.58,33.22,Residential,USD,Small
REI.UN TSE,-2,-0.003023758099352064,23.08,26.0,18.22,474,126.0,600.0,0.74,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,6980872000.0,68.50806999999999,1.17772,8.0,24.56,6.41247833622184,1.02,0.085,02272023,,,27.54242986283144,15.55670003138566,2.21,2,Feb,4.42,26.67,,CAD,Micro
DIC IBIS,23,0.011547344110854462,8.76,233.0,12.103,"2,820",-779.0,2041.0,3.64,DE,DIC ASSET AG,REITS,REITS,728414736.7205544,184.0242,1.1215700000000002,9.0,12.5,42.69406392694064,0.75,0.75,03312023,7.619999885559082,0.149606316477953,45.95717661583992,21.3494662682263,174.75,3,Mar,8.56,-27.62,,EUR,Medium
GMRE,46,0.021062271062271102,11.15,200.0,7.843,"1,568",662.0,2230.0,3.65,US,GLOBAL MEDICAL REIT INC,REITS,REITS,730529085.3547351,325.2969,1.11224,7.0,11.57,3.766816143497757,0.84,0.21,03212023,9.479999542236328,0.17616039434636088,44.53212209701778,20.584315815756472,42.0,3,Mar,7.53,42.16,Healthcare,USD,Medium
STAG,12,0.015393386545039885,35.62,22.0,30.095,662,122.0,784.0,1.28,US,STAG INDUSTRIAL INC,REITS,REITS,6383671915.491358,110.4478,1.0156,11.0,36.59,2.7231892195396017,1.464,0.122,02272023,32.310001373291016,0.10244501658997712,36.077041278112546,19.32181601683106,2.684,2,Feb,4.11,18.36,Industrial,USD,Small
VICI,26,0.008854781582054225,34.18,88.0,28.916,"2,545",463.0,3008.0,4.93,US,VICI PROPERTIES INC,REITS,REITS,35341888278.94993,175.6538,1.00001,18.0,37.93,10.971328262141604,1.56,0.39,03222023,32.400001525878906,0.054938221922593185,41.56152407280547,17.094146182491894,34.32,3,Mar,4.56,18.2,Net Lease,USD,Medium
KGC,13,0.00215982721382304,4.64,1306.0,4.8919999999999995,"6,388",-328.0,6060.0,9.93,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,5860619451.33048,114.1907,0.9728,15.0,5.39,16.163793103448278,0.12,0.03,03082023,4.0900001525878915,0.1344742853039028,59.50749655030965,35.65271448465912,39.18,3,Mar,2.59,-5.15,,USD,Large
MPW,55,0.016457680250783768,12.97,261.0,18.022000000000002,"4,704",-1318.0,3385.0,5.55,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,7768809428.683388,55.99483000000001,0.9655100000000001,13.0,15.38,18.581341557440247,1.16,0.29,03152023,11.140000343322754,0.16427285460310934,52.429530719459464,23.309015655940428,75.69,3,Mar,8.94,-28.03,Healthcare,USD,Medium
BTG,35,0.007614213197969494,3.97,1157.0,3.4960000000000004,"4,045",548.0,4593.0,7.53,CA,B2GOLD CORP,Basic Materials,Gold Miners,4286986485.4400797,73.83091,0.94832,3.0,5.02,26.448362720403008,0.16,0.04,03032023,3.5699999332427983,0.11204483872184938,54.913734554281035,37.46479208262164,46.28,3,Mar,4.03,13.56,,USD,Large
EQX,2,0.011037527593818946,4.58,50.0,6.187,309,-80.0,229.0,0.38,CA,EQUINOX GOLD CORP,Basic Materials,Gold Miners,1406670498.1077585,0.0,0.8862,1.0,4.67,1.9650655021834031,0.0,0.0,01011970,3.2799999713897705,0.3963414755944055,90.18054069508005,44.727218512211934,0.0,1,Jan,0.0,-25.97,,USD,Micro
FPI,4,0.004680187207488338,12.88,60.0,12.137,728,45.0,773.0,1.27,US,FARMLAND PARTNERS INC,REITS,REITS,703043151.9564822,38.36807,0.79695,5.0,15.6,21.118012422360238,0.24,0.06,03312023,12.460000038146973,0.033707862003786136,39.82850397401765,21.222946770771962,3.5999999999999996,3,Mar,1.86,6.12,,USD,Small
VOD,-3,-0.003442340791738461,11.58,66.0,13.764000000000001,908,-144.0,764.0,1.25,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,31426565163.00011,120.4042,0.79552,2.0,14.46,24.87046632124353,0.977,0.467,06222023,10.119999885559082,0.1442687876433963,37.00697000732466,20.50795940591476,30.822000000000003,6,Jun,8.44,-15.87,,USD,Small
VNA IBIS,28,0.01163241566498632,26.09,93.0,30.685,"2,854",-427.0,2426.0,4.32,DE,VONOVIA SE,REITS,REITS,20763724982.55138,142.621,0.67288,21.0,35.7,36.83403602912995,1.66,1.66,04192023,22.020000457763672,0.1848319463045857,54.326851562502114,21.93174395443748,154.38,4,Apr,6.36,-14.97,,EUR,Medium
BYG LSE,-8,-0.0249999999999999,1209.0,25.0,1116.5,279,23.0,302.0,0.61,GB,BIG YELLOW GROUP PLC,REITS,REITS,2227775550.0000005,17.80039,0.58431,16.0,1261.81,4.3680727874276215,0.446,0.223,07032023,11.470000267028807,0.054054029515013785,51.82931821403729,25.841636554016514,5.575,7,Jul,0.04,8.28,,GBP,Micro
NET.UN VENTURE,0,0.0,6.75,70.0,8.016,561,-89.0,473.0,0.58,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,139784300.0,65.55731,0.43823,5.0,8.05,19.25925925925927,0.345,0.02875,02142023,,,42.49621629946196,20.99784712245048,2.0125,2,Feb,5.11,-15.79,,CAD,Micro
COIN,6,0.03757122507122506,58.27,3.0,221.74200000000002,665,-490.0,175.0,0.29,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,13220748174.85755,,,25.0,63.72,9.35301184142783,0.0,0.0,01011970,35.38999938964844,0.6465103420443674,191.45133136078343,62.50857090485047,0.0,1,Jan,0.0,-73.72,,USD,Micro
